Month,Sales
2018-01-31,200
2018-02-28,212
2018-03-31,224
2018-04-30,236
2018-05-31,248
2018-06-30,260
2018-07-31,272
2018-08-31,284
2018-09-30,296
2018-10-31,308
2018-11-30,320
2018-12-31,332
2019-01-31,224
2019-02-28,236
2019-03-31,248
2019-04-30,260
2019-05-31,272
2019-06-30,284
2019-07-31,296
2019-08-31,308
2019-09-30,320
2019-10-31,332
2019-11-30,344
2019-12-31,356
2020-01-31,248
2020-02-29,260
2020-03-31,272
2020-04-30,284
2020-05-31,296
2020-06-30,308
2020-07-31,320
2020-08-31,332
2020-09-30,344
2020-10-31,356
2020-11-30,368
2020-12-31,380
2021-01-31,272
2021-02-28,284
2021-03-31,296
2021-04-30,308
2021-05-31,320
2021-06-30,332
2021-07-31,344
2021-08-31,356
2021-09-30,368
2021-10-31,380
2021-11-30,392
2021-12-31,404
2022-01-31,296
2022-02-28,308
2022-03-31,320
2022-04-30,332
2022-05-31,344
2022-06-30,356
2022-07-31,368
2022-08-31,380
2022-09-30,392
2022-10-31,404
2022-11-30,416
2022-12-31,428
